year,month,revenue,prev_month_revenue,revenue_change,revenue_change_pct
2023,9,151135.60000000018,,,
2023,10,262502.74000000034,151135.60000000018,111367.14000000016,73.69
2023,11,240286.9100000001,262502.74000000034,-22215.83000000025,-8.46
2023,12,255617.0299999999,240286.9100000001,15330.11999999982,6.38
2024,1,217766.09000000003,255617.0299999999,-37850.939999999886,-14.81
2024,2,228013.97999999975,217766.09000000003,10247.889999999723,4.71
2024,3,248176.27999999988,228013.97999999975,20162.300000000134,8.84
2024,4,265596.6600000004,248176.27999999988,17420.3800000005,7.02
2024,5,264875.23000000004,265596.6600000004,-721.4300000003423,-0.27
2024,6,234155.38000000006,264875.23000000004,-30719.849999999977,-11.6
2024,7,253369.40000000017,234155.38000000006,19214.020000000106,8.21
2024,8,212613.19999999992,253369.40000000017,-40756.200000000244,-16.09
2024,9,218873.9,212613.19999999992,6260.70000000007,2.94
2024,10,258931.27000000008,218873.9,40057.37000000008,18.3
2024,11,250572.04000000012,258931.27000000008,-8359.229999999952,-3.23
2024,12,278154.19,250572.04000000012,27582.149999999878,11.01
2025,1,224390.21000000014,278154.19,-53763.979999999865,-19.33
2025,2,215338.18999999983,224390.21000000014,-9052.02000000031,-4.03
2025,3,239346.81000000058,215338.18999999983,24008.620000000752,11.15
2025,4,263024.03,239346.81000000058,23677.21999999945,9.89
2025,5,248527.4599999999,263024.03,-14496.570000000123,-5.51
2025,6,248776.27999999997,248527.4599999999,248.8200000000652,0.1
2025,7,249593.50000000006,248776.27999999997,817.2200000000885,0.33
2025,8,243808.50000000026,249593.50000000006,-5784.999999999796,-2.32
2025,9,91848.16999999998,243808.50000000026,-151960.33000000028,-62.33
